Places to consider,
City,State
Madison,WI
Appleton,WI
Green.Bay,WI
Milwaukee,WI
Bremerton,WA
Bainbridge,WA
Spokane,WA
Burlington,VT
Provo,UT
Salt.Lake.City,UT
Ogden,UT
St..George,UT
Bend,OR
Portland,OR
Hanover,NH
Concord,NH
Bedford,NH
Manchester,NH
Portsmouth,NH
Lincoln,NE
Omaha,NE
Bozeman,MT
Billings,MT
Great.Falls,MT
Columbia.Falls,MT
St..Louis,MO
St..Cloud,MN
St..Paul,MN
Minneapolis,MN
Traverse.City,MI
Grand.Rapids,MI
Ann.Arbor,MI
Detroit,MI
Kalamazoo,MI
Lansing,MI
Portland.1,ME
Wichita,KS
Kansas.City,KS
Des.Moines,IO
Cedar.Rapids,IO
Urbandale,IO
Iowa.City,IO
Indianapolis,IN
Peoria,IL
Springfield,IL
Urbana.Champaign,IL
Boise,ID
Moscow,ID
Pocatello,ID
Idaho.Falls,ID
Coeur.d.Alene,ID
Wilmington,DE
Boulder,CO
Denver,CO
Colorado.Springs,CO
Greenley,CO
Fort.Collins,CO
Fake.City,WY
