Location,Date,Description,Cost,Category
Burger King,5/15/2019,Dinner,$2.19 ,restaurant
Dennys,5/17/2019,Late night/early morning food for both Sam and I,$24.76 ,restaurant
Dennys,5/17/2019,Tip,$4.95 ,restaurant
Wawa,5/17/2019,Moving Truck fuel,$27.50 ,transportation
Exxon,5/17/2019,Moving Truck fuel,$78.25 ,transportation
Port Authority Toll,5/17/2019,Moving Truck toll,$42.00 ,transportation
Wawa,5/17/2019,Moving Truck Drink,$2.03 ,transportation
Penske NYC,5/17/2019,Moving Truck Fee,$10.89 ,transportation
MTA NYC Transit,5/18/2019,Monthly Metrocard,$127.00 ,transportation
MTA NYC Transit,5/18/2019,Fee,$1.00 ,transportation
Molly Wee Pub,5/24/2019,Dinner,$53.60 ,restaurant
Molly Wee Pub,5/24/2019,Tip (estimate),$10.72 ,restaurant
Wahi Diner,5/24/2019,Lunch,$22.54 ,restaurant
Wahi Diner,5/24/2019,Tip,$4.00 ,restaurant
Easy Shopping,5/24/2019,Item 1,$19.99 ,improvement
Easy Shopping,5/24/2019,Item 2,$14.99 ,improvement
Easy Shopping,5/24/2019,Item 3,$1.29 ,improvement
Easy Shopping,5/24/2019,Item 4,$1.29 ,improvement
Easy Shopping,5/24/2019,Item 5,$6.99 ,improvement
Easy Shopping,5/24/2019,Item 6,$6.99 ,improvement
Easy Shopping,5/24/2019,Tax,$4.57 ,misc
Rite Aid,5/24/2019,No Receipt,$10.00 ,hygiene
Las Palmas,5/24/2019,Dinner,$43.17 ,restaurant
Las Palmas,5/24/2019,Tax,$4.20 ,misc
Las Palmas,5/24/2019,Tip,$9.00 ,restaurant
Adobe,5/24/2019,Creative Cloud,$29.99 ,business
Amazon,5/25/2019,Coffee Maker,$39.80 ,improvement
Amazon,5/25/2019,Tax,$3.53 ,misc
ShopFair,5/25/2019,Bagels,$2.29 ,breakfast
ShopFair,5/25/2019,Alfredo,$3.89 ,condiments
ShopFair,5/25/2019,Alfredo,$3.89 ,condiments
ShopFair,5/25/2019,Marinara,$3.89 ,condiments
ShopFair,5/25/2019,Coffee,$8.69 ,breakfast
ShopFair,5/25/2019,Peppers,$1.01 ,produce
ShopFair,5/25/2019,Mushrooms,$2.49 ,produce
ShopFair,5/25/2019,Cream cheese,$8.29 ,dairy
ShopFair,5/25/2019,Ice cream,$5.99 ,dairy
ShopFair,5/25/2019,Parmesan,$4.29 ,dairy
ShopFair,5/25/2019,Mozzarella,$9.99 ,dairy
ShopFair,5/25/2019,Tax,$0.00 ,misc
Mel's Burger,5/25/2019,Dinner,$39.20 ,restaurant
Mel's Burger,5/25/2019,Tip,$7.20 ,restaurant
Macy's,5/26/2019,Top,$24.75 ,clothes
Macy's,5/26/2019,Top,$34.50 ,clothes
Macy's,5/26/2019,Pants,$74.25 ,clothes
Macy's,5/26/2019,Pants,$99.00 ,clothes
Macy's,5/26/2019,Tax,$0.00 ,misc
Macy's,5/26/2019,Shirt,$19.99 ,clothes
Macy's,5/26/2019,Shirt,$27.50 ,clothes
Macy's,5/26/2019,Pants,$50.22 ,clothes
Macy's,5/26/2019,Pants,$54.78 ,clothes
Macy's,5/26/2019,Tax,$0.00 ,misc
Old Navy,5/26/2019,Shorts,$14.99 ,clothes
Old Navy,5/26/2019,Shirt,$7.49 ,clothes
Old Navy,5/26/2019,Shirt,$7.49 ,clothes
Old Navy,5/26/2019,Shirt,$7.49 ,clothes
Old Navy,5/26/2019,Shirt,$1.97 ,clothes
Old Navy,5/26/2019,Shirt,$7.49 ,clothes
Old Navy,5/26/2019,Shirt,$20.24 ,clothes
Old Navy,5/26/2019,Shirt,$20.24 ,clothes
Old Navy,5/26/2019,Shirt,$7.49 ,clothes
Old Navy,5/26/2019,Tax,$0.00 ,misc
Foodtown,5/26/2019,Coffee creamer,$8.79 ,dairy
Foodtown,5/26/2019,Tortillas,$2.50 ,bread
Foodtown,5/26/2019,Coffee,$10.49 ,breakfast
Bed Bath & Beyond,5/27/2019,home stuff,$34.80 ,improvement
Foodtown,5/27/2019,Almond milk,$4.39 ,dairy
Foodtown,5/27/2019,Cheddar cheese,$3.99 ,dairy
Foodtown,5/27/2019,Swiss cheese,$3.99 ,dairy
Foodtown,5/27/2019,Spinach,$2.50 ,produce
Foodtown,5/27/2019,Cheerios,$5.59 ,breakfast
Foodtown,5/27/2019,Bread,$1.99 ,bread
Foodtown,5/27/2019,Garlic,$0.92 ,produce
Foodtown,5/27/2019,Onions,$2.99 ,produce
Foodtown,5/27/2019,Tax,$0.00 ,misc
Antillana Superfood Marketplace,5/27/2019,Tomato,$0.85 ,produce
Antillana Superfood Marketplace,5/27/2019,Tomato,$0.85 ,produce
Antillana Superfood Marketplace,5/27/2019,Tax,$0.00 ,misc
Luna,5/31/2019,Dinner,$29.77 ,restaurant
Luna,5/31/2019,Tax,$2.90 ,misc
Luna,5/31/2019,Tip,$8.00 ,restaurant
La Bella Ferrara,5/31/2019,Cannoli,$10.00 ,restaurant
EMS Garden Apartments,6/1/2019,Rent,$900.00 ,rent
EMS Garden Apartments,6/1/2019,Rent,$900.00 ,rent
Verizon,6/16/2019,Internet,$21.24 ,utilities
Verizon,6/16/2019,Internet,$21.24 ,utilities
Shopify,6/16/2019,Shopify,$29.00 ,business
Adobe,6/24/2019,Creative Cloud,$29.99 ,business
MTA NYC Transit,6/25/2019,Monthly Metrocard,$127.00 ,transportation
ConEdison,6/1/2019,Electricity,$210.71 ,utilities
Foodtown,6/2/2019,Eggs,$5.19 ,breakfast
Foodtown,6/2/2019,Cheerios,$6.89 ,breakfast
Foodtown,6/2/2019,Reeses Puffs,$6.29 ,breakfast
Foodtown,6/2/2019,Bagels,$4.69 ,breakfast
Foodtown,6/2/2019,Bagels,$4.69 ,breakfast
Foodtown,6/2/2019,Bread,$1.99 ,bread
Foodtown,6/2/2019,Cream cheese,$6.49 ,dairy
Foodtown,6/2/2019,Salsa,$2.69 ,condiments
Foodtown,6/2/2019,Sponges,$1.69 ,improvement
Foodtown,6/2/2019,Aluminum foil,$4.49 ,improvement
Foodtown,6/2/2019,Air freshener,$1.69 ,improvement
Foodtown,6/2/2019,Lysol,$4.19 ,improvement
Foodtown,6/2/2019,Tax,$1.07 ,misc
Rite Aid,6/2/2019,Ruffles,$4.29 ,snacks
Rite Aid,6/2/2019,Toilet brush,$10.49 ,improvement
Rite Aid,6/2/2019,Candle,$8.99 ,improvement
Rite Aid,6/2/2019,Body wash,$13.29 ,hygiene
Rite Aid,6/2/2019,Kidcents contr.,$0.03 ,misc
Rite Aid,6/2/2019,Tax,$2.91 ,misc
Mi Bandera Grocery,6/2/2019,Item 1,$0.99 ,produce
Mi Bandera Grocery,6/2/2019,Item 2,$10.00 ,produce
Mi Bandera Grocery,6/2/2019,Item 3,$1.00 ,produce
Mi Bandera Grocery,6/2/2019,Item 4,$2.69 ,dairy
Antika,6/2/2019,Dinner,$52.26 ,restaurant
Antika,6/2/2019,Tip,$8.00 ,restaurant
Home Depot,6/3/2019,Boston fern,$16.98 ,improvement
Home Depot,6/3/2019,Hosta vigoro,$8.48 ,improvement
Home Depot,6/3/2019,Snake plant,$12.98 ,improvement
Home Depot,6/3/2019,Plastic floor guard,$1.98 ,improvement
Home Depot,6/3/2019,Plastic floor guard,$2.58 ,improvement
Home Depot,6/3/2019,Tax,$3.82 ,misc
Duane Reade,6/4/2019,Journals,$15.98 ,supplies
Duane Reade,6/4/2019,Tax,$1.42 ,misc
CVS,6/4/2019,Foundation,$19.29 ,hygiene
CVS,6/4/2019,Powder,$9.49 ,hygiene
CVS,6/4/2019,Tax,$2.55 ,misc
CVS,6/4/2019,Calendar,$12.49 ,supplies
CVS,6/4/2019,Tax,$1.11 ,misc
Starbucks,6/4/2019,Drinks,$10.78 ,restaurant
Staples,6/4/2019,Print,$13.04 ,supplies
At the Wallace,6/5/2019,Cocktail,$9.00 ,entertainment
At the Wallace,6/5/2019,Beer,$8.00 ,entertainment
At the Wallace,6/5/2019,Tax,$0.00 ,misc
At the Wallace,6/5/2019,Tip,$3.00 ,entertainment
Harlem Public,6/5/2019,Dinner,$58.78 ,restaurant
Harlem Public,6/5/2019,Tip,$10.00 ,restaurant
Amazon,6/6/2019,pancake mix,$4.98 ,breakfast
Amazon,6/6/2019,tortillas,$2.29 ,bread
Amazon,6/6/2019,tortillas,$2.29 ,bread
Amazon,6/6/2019,raisin bran,$3.49 ,breakfast
Amazon,6/6/2019,Alfredo,$2.68 ,condiments
Amazon,6/6/2019,syrup,$2.69 ,breakfast
Amazon,6/6/2019,brown sugar,$2.00 ,condiments
Amazon,6/6/2019,Marinara,$1.79 ,condiments
Amazon,6/6/2019,salsa,$2.09 ,condiments
Amazon,6/6/2019,Marinara,$1.98 ,condiments
Amazon,6/6/2019,Marinara,$1.98 ,condiments
Amazon,6/6/2019,oatmeal,$4.00 ,breakfast
Amazon,6/6/2019,cheerios,$3.64 ,breakfast
Amazon,6/6/2019,Alfredo,$2.68 ,condiments
Amazon,6/6/2019,alfredo,$2.77 ,condiments
Wahi Diner,6/8/2019,Dinner,$30.00 ,restaurant
Wahi Diner,6/8/2019,Tax,$2.66 ,misc
Wahi Diner,6/8/2019,Tip,$7.40 ,restaurant
Shake Shack,6/8/2019,Dinner,$28.25 ,restaurant
Shake Shack,6/8/2019,Tax,$2.51 ,misc
Amazon,6/9/2019,mop,$24.95 ,improvement
Amazon,6/9/2019,coffee (3 pack),$24.93 ,breakfast
Amazon,6/9/2019,measuring cups,$8.09 ,improvement
Amazon,6/9/2019,coupon,($2.00),misc
Amazon,6/9/2019,tax,$2.76 ,misc
Foodtown,6/10/2019,Bread,$1.99 ,bread
Foodtown,6/10/2019,Tortilla chips,$3.99 ,snacks
Foodtown,6/10/2019,Toilet paper,$12.99 ,hygiene
Foodtown,6/10/2019,Parmesan,$4.29 ,dairy
Foodtown,6/10/2019,Granola bars,$4.59 ,snacks
Foodtown,6/10/2019,Eggs,$1.69 ,breakfast
Foodtown,6/10/2019,Almond milk,$3.00 ,dairy
Foodtown,6/10/2019,Shredded cheese,$8.99 ,dairy
Foodtown,6/10/2019,Tax,$1.15 ,misc
Antillana Superfood Marketplace,6/10/2019,Green pepper,$1.03 ,produce
Antillana Superfood Marketplace,6/10/2019,Red pepper,$1.04 ,produce
Antillana Superfood Marketplace,6/10/2019,Tomato,$1.08 ,produce
Antillana Superfood Marketplace,6/10/2019,Tax,$0.00 ,misc
LZ Broadway Liquors,6/10/2019,Wine,$13.05 ,alcohol
DSW,6/11/2019,Shoes,$25.00 ,clothes
Pret a Manger,6/11/2019,Sandwich,$5.43 ,restaurant
Bierstrasse,6/15/2019,Dinner,$83.84 ,restaurant
Bierstrasse,6/15/2019,Tax,$8.17 ,misc
Bierstrasse,6/15/2019,Tip,$16.90 ,restaurant
NY DOS,6/16/2019,Business license,$200.00 ,business
Walters Cottage,6/18/2019,Dinner,$51.17 ,restaurant
Walters Cottage,6/18/2019,Tip,$9.00 ,restaurant
Greyhound,6/19/2019,Travel,$146.00 ,entertainment
Vending Machine,6/21/2019,Chips,$1.50 ,snacks
Harlem Pizza Co.,6/21/2019,Dinner,$53.50 ,restaurant
Harlem Pizza Co.,6/21/2019,Tax,$4.75 ,misc
Harlem Pizza Co.,6/21/2019,Tip,$12.00 ,restaurant
Foodtown,6/23/2019,Almond milk,$4.39 ,dairy
Foodtown,6/23/2019,Salsa,$3.69 ,condiments
Foodtown,6/23/2019,Swiss cheese,$3.00 ,dairy
Foodtown,6/23/2019,Cheddar cheese,$3.00 ,dairy
Foodtown,6/23/2019,Tortillas,$2.99 ,bread
Foodtown,6/23/2019,Spinach wraps,$3.49 ,bread
Foodtown,6/23/2019,Chocolate bar,$2.99 ,snacks
Foodtown,6/23/2019,Tomato,$2.55 ,produce
Foodtown,6/23/2019,Tax,$0.00 ,misc
Wahi Diner,6/23/2019,Dinner,$25.53 ,restaurant
Vending Machine,6/28/2019,Chips,$1.60 ,snacks
Habanero Blues,6/28/2019,Dinner,$25.05 ,restaurant
Habanero Blues,6/28/2019,Tip,$5.00 ,restaurant
EMS Garden Apartments,7/1/2019,Rent,$900.00 ,rent
EMS Garden Apartments,7/1/2019,Rent,$900.00 ,rent
Verizon,7/16/2019,Internet,$21.24 ,utilities
Verizon,7/16/2019,Internet,$21.24 ,utilities
Shopify,7/16/2019,Website,$29.00 ,business
Adobe,7/24/2019,Creative Cloud,$29.99 ,business
MTA NYC Transit,7/25/2019,Monthly Metrocard,$127.00 ,transportation
ConEdison,7/31/2019,Electricity,$230.20 ,utilities
CVS,7/1/2019,Tampons,$7.49 ,hygiene
CVS,7/1/2019,Contact Solution,$7.49 ,hygiene
CVS,7/1/2019,Makeup Wipes,$13.99 ,hygiene
CVS,7/1/2019,Tax,$1.24 ,misc
Mi Bandera Grocery,7/2/2019,Tomato,$1.00 ,produce
Mi Bandera Grocery,7/2/2019,Green pepper,$1.99 ,produce
Mi Bandera Grocery,7/2/2019,Eggs,$2.19 ,breakfast
Mi Bandera Grocery,7/2/2019,Lettuce,$1.44 ,produce
CVS,7/3/2019,Sprite,$2.76 ,snacks
Delaware House,7/3/2019,Late dinner,$9.67 ,restaurant
Mabels Cafe,7/6/2019,Ice cream,$18.73 ,restaurant
MTA NYC Transit,7/8/2019,Metrocard,$20.00 ,transportation
TPC X-out,7/8/2019,X-out,$22.94 ,hygiene
Foodtown,7/10/2019,Bread,$1.99 ,bread
Foodtown,7/10/2019,Tortilla chips,$3.99 ,snacks
Foodtown,7/10/2019,Toilet paper,$12.99 ,hygiene
Foodtown,7/10/2019,Parmesan,$4.29 ,dairy
Foodtown,7/10/2019,Granola bars,$4.59 ,snacks
Foodtown,7/10/2019,Eggs,$1.69 ,breakfast
Foodtown,7/10/2019,Almond milk,$4.39 ,dairy
Foodtown,7/10/2019,Shredded cheese,$8.99 ,dairy
Foodtown,7/10/2019,Tax,$1.15 ,misc
Cafe Rustico,7/11/2019,Pizza,$4.63 ,restaurant
AC Wine Liquors,7/11/2019,Wine,$19.99 ,alcohol
GoGo Gi Korean,7/12/2019,Korean food,$26.00 ,restaurant
Amazon,7/14/2019,Towels,$28.99 ,improvement
Amazon,7/14/2019,shampoo,$9.95 ,hygiene
Amazon,7/14/2019,tax,$3.45 ,misc
Amazon,7/14/2019,diced tomatoes,$1.29 ,produce
Amazon,7/14/2019,tortillas,$1.75 ,bread
Amazon,7/14/2019,tortillas,$2.19 ,bread
Amazon,7/14/2019,tortilla chips,$3.28 ,snacks
Amazon,7/14/2019,granola bars,$3.75 ,snacks
